cod_municipio,municipio,uf,data_competencia,ano,mes,internacoes
350010,ADAMANTINA,SP,2025-01-01,2025,1,414
350010,ADAMANTINA,SP,2025-02-01,2025,2,403
350010,ADAMANTINA,SP,2025-03-01,2025,3,431
350010,ADAMANTINA,SP,2025-04-01,2025,4,457
350010,ADAMANTINA,SP,2025-05-01,2025,5,519
350010,ADAMANTINA,SP,2025-06-01,2025,6,451
350010,ADAMANTINA,SP,2025-07-01,2025,7,477
350010,ADAMANTINA,SP,2025-08-01,2025,8,441
350010,ADAMANTINA,SP,2025-09-01,2025,9,470
350010,ADAMANTINA,SP,2025-10-01,2025,10,485
350010,ADAMANTINA,SP,2025-11-01,2025,11,420
350010,ADAMANTINA,SP,2025-12-01,2025,12,425
350030,AGUAI,SP,2025-01-01,2025,1,55
350030,AGUAI,SP,2025-02-01,2025,2,40
350030,AGUAI,SP,2025-03-01,2025,3,51
350030,AGUAI,SP,2025-04-01,2025,4,55
350030,AGUAI,SP,2025-05-01,2025,5,68
350030,AGUAI,SP,2025-06-01,2025,6,60
350030,AGUAI,SP,2025-07-01,2025,7,36
350030,AGUAI,SP,2025-08-01,2025,8,39
350030,AGUAI,SP,2025-09-01,2025,9,43
350030,AGUAI,SP,2025-10-01,2025,10,25
350030,AGUAI,SP,2025-11-01,2025,11,25
350030,AGUAI,SP,2025-12-01,2025,12,38
350050,AGUAS DE LINDOIA,SP,2025-01-01,2025,1,106
350050,AGUAS DE LINDOIA,SP,2025-02-01,2025,2,93
350050,AGUAS DE LINDOIA,SP,2025-03-01,2025,3,82
350050,AGUAS DE LINDOIA,SP,2025-04-01,2025,4,103
350050,AGUAS DE LINDOIA,SP,2025-05-01,2025,5,113
350050,AGUAS DE LINDOIA,SP,2025-06-01,2025,6,81
350050,AGUAS DE LINDOIA,SP,2025-07-01,2025,7,113
350050,AGUAS DE LINDOIA,SP,2025-08-01,2025,8,102
350050,AGUAS DE LINDOIA,SP,2025-09-01,2025,9,89
350050,AGUAS DE LINDOIA,SP,2025-10-01,2025,10,107
350050,AGUAS DE LINDOIA,SP,2025-11-01,2025,11,101
350050,AGUAS DE LINDOIA,SP,2025-12-01,2025,12,111
350070,AGUDOS,SP,2025-01-01,2025,1,92
350070,AGUDOS,SP,2025-02-01,2025,2,112
350070,AGUDOS,SP,2025-03-01,2025,3,108
350070,AGUDOS,SP,2025-04-01,2025,4,123
350070,AGUDOS,SP,2025-05-01,2025,5,109
350070,AGUDOS,SP,2025-06-01,2025,6,114
350070,AGUDOS,SP,2025-07-01,2025,7,100
350070,AGUDOS,SP,2025-08-01,2025,8,101
350070,AGUDOS,SP,2025-09-01,2025,9,107
350070,AGUDOS,SP,2025-10-01,2025,10,101
350070,AGUDOS,SP,2025-11-01,2025,11,83
350070,AGUDOS,SP,2025-12-01,2025,12,73
350100,ALTINOPOLIS,SP,2025-01-01,2025,1,170
350100,ALTINOPOLIS,SP,2025-02-01,2025,2,146
350100,ALTINOPOLIS,SP,2025-03-01,2025,3,173
350100,ALTINOPOLIS,SP,2025-04-01,2025,4,190
350100,ALTINOPOLIS,SP,2025-05-01,2025,5,209
350100,ALTINOPOLIS,SP,2025-06-01,2025,6,176
350100,ALTINOPOLIS,SP,2025-07-01,2025,7,183
350100,ALTINOPOLIS,SP,2025-08-01,2025,8,152
350100,ALTINOPOLIS,SP,2025-09-01,2025,9,166
350100,ALTINOPOLIS,SP,2025-10-01,2025,10,195
350100,ALTINOPOLIS,SP,2025-11-01,2025,11,144
350100,ALTINOPOLIS,SP,2025-12-01,2025,12,141
350110,ALTO ALEGRE,SP,2025-01-01,2025,1,9
350110,ALTO ALEGRE,SP,2025-02-01,2025,2,7
350110,ALTO ALEGRE,SP,2025-03-01,2025,3,17
350110,ALTO ALEGRE,SP,2025-04-01,2025,4,15
350110,ALTO ALEGRE,SP,2025-05-01,2025,5,12
350110,ALTO ALEGRE,SP,2025-06-01,2025,6,10
350110,ALTO ALEGRE,SP,2025-07-01,2025,7,3
350110,ALTO ALEGRE,SP,2025-08-01,2025,8,0
350110,ALTO ALEGRE,SP,2025-09-01,2025,9,7
350110,ALTO ALEGRE,SP,2025-10-01,2025,10,5
350110,ALTO ALEGRE,SP,2025-11-01,2025,11,1
350110,ALTO ALEGRE,SP,2025-12-01,2025,12,0
350130,ALVARES MACHADO,SP,2025-01-01,2025,1,61
350130,ALVARES MACHADO,SP,2025-02-01,2025,2,64
350130,ALVARES MACHADO,SP,2025-03-01,2025,3,83
350130,ALVARES MACHADO,SP,2025-04-01,2025,4,85
350130,ALVARES MACHADO,SP,2025-05-01,2025,5,65
350130,ALVARES MACHADO,SP,2025-06-01,2025,6,59
350130,ALVARES MACHADO,SP,2025-07-01,2025,7,58
350130,ALVARES MACHADO,SP,2025-08-01,2025,8,79
350130,ALVARES MACHADO,SP,2025-09-01,2025,9,62
350130,ALVARES MACHADO,SP,2025-10-01,2025,10,62
350130,ALVARES MACHADO,SP,2025-11-01,2025,11,61
350130,ALVARES MACHADO,SP,2025-12-01,2025,12,69
350160,AMERICANA,SP,2025-01-01,2025,1,699
350160,AMERICANA,SP,2025-02-01,2025,2,822
350160,AMERICANA,SP,2025-03-01,2025,3,869
350160,AMERICANA,SP,2025-04-01,2025,4,829
350160,AMERICANA,SP,2025-05-01,2025,5,925
350160,AMERICANA,SP,2025-06-01,2025,6,800
350160,AMERICANA,SP,2025-07-01,2025,7,959
350160,AMERICANA,SP,2025-08-01,2025,8,923
350160,AMERICANA,SP,2025-09-01,2025,9,831
350160,AMERICANA,SP,2025-10-01,2025,10,801
350160,AMERICANA,SP,2025-11-01,2025,11,698
350160,AMERICANA,SP,2025-12-01,2025,12,644
350170,AMERICO BRASILIENSE,SP,2025-01-01,2025,1,524
350170,AMERICO BRASILIENSE,SP,2025-02-01,2025,2,556
350170,AMERICO BRASILIENSE,SP,2025-03-01,2025,3,594
350170,AMERICO BRASILIENSE,SP,2025-04-01,2025,4,625
350170,AMERICO BRASILIENSE,SP,2025-05-01,2025,5,610
350170,AMERICO BRASILIENSE,SP,2025-06-01,2025,6,516
350170,AMERICO BRASILIENSE,SP,2025-07-01,2025,7,583
350170,AMERICO BRASILIENSE,SP,2025-08-01,2025,8,511
350170,AMERICO BRASILIENSE,SP,2025-09-01,2025,9,539
350170,AMERICO BRASILIENSE,SP,2025-10-01,2025,10,679
350170,AMERICO BRASILIENSE,SP,2025-11-01,2025,11,596
350170,AMERICO BRASILIENSE,SP,2025-12-01,2025,12,366
350190,AMPARO,SP,2025-01-01,2025,1,487
350190,AMPARO,SP,2025-02-01,2025,2,489
350190,AMPARO,SP,2025-03-01,2025,3,484
350190,AMPARO,SP,2025-04-01,2025,4,395
350190,AMPARO,SP,2025-05-01,2025,5,403
350190,AMPARO,SP,2025-06-01,2025,6,421
350190,AMPARO,SP,2025-07-01,2025,7,418
350190,AMPARO,SP,2025-08-01,2025,8,416
350190,AMPARO,SP,2025-09-01,2025,9,330
350190,AMPARO,SP,2025-10-01,2025,10,414
350190,AMPARO,SP,2025-11-01,2025,11,386
350190,AMPARO,SP,2025-12-01,2025,12,370
350210,ANDRADINA,SP,2025-01-01,2025,1,312
350210,ANDRADINA,SP,2025-02-01,2025,2,256
350210,ANDRADINA,SP,2025-03-01,2025,3,272
350210,ANDRADINA,SP,2025-04-01,2025,4,267
350210,ANDRADINA,SP,2025-05-01,2025,5,330
350210,ANDRADINA,SP,2025-06-01,2025,6,269
350210,ANDRADINA,SP,2025-07-01,2025,7,330
350210,ANDRADINA,SP,2025-08-01,2025,8,314
350210,ANDRADINA,SP,2025-09-01,2025,9,263
350210,ANDRADINA,SP,2025-10-01,2025,10,251
350210,ANDRADINA,SP,2025-11-01,2025,11,278
350210,ANDRADINA,SP,2025-12-01,2025,12,274
350220,ANGATUBA,SP,2025-01-01,2025,1,124
350220,ANGATUBA,SP,2025-02-01,2025,2,138
350220,ANGATUBA,SP,2025-03-01,2025,3,135
350220,ANGATUBA,SP,2025-04-01,2025,4,186
350220,ANGATUBA,SP,2025-05-01,2025,5,181
350220,ANGATUBA,SP,2025-06-01,2025,6,201
350220,ANGATUBA,SP,2025-07-01,2025,7,153
350220,ANGATUBA,SP,2025-08-01,2025,8,163
350220,ANGATUBA,SP,2025-09-01,2025,9,172
350220,ANGATUBA,SP,2025-10-01,2025,10,137
350220,ANGATUBA,SP,2025-11-01,2025,11,134
350220,ANGATUBA,SP,2025-12-01,2025,12,99
350250,APARECIDA,SP,2025-01-01,2025,1,302
350250,APARECIDA,SP,2025-02-01,2025,2,362
350250,APARECIDA,SP,2025-03-01,2025,3,322
350250,APARECIDA,SP,2025-04-01,2025,4,373
350250,APARECIDA,SP,2025-05-01,2025,5,258
350250,APARECIDA,SP,2025-06-01,2025,6,502
350250,APARECIDA,SP,2025-07-01,2025,7,397
350250,APARECIDA,SP,2025-08-01,2025,8,379
350250,APARECIDA,SP,2025-09-01,2025,9,407
350250,APARECIDA,SP,2025-10-01,2025,10,436
350250,APARECIDA,SP,2025-11-01,2025,11,594
350250,APARECIDA,SP,2025-12-01,2025,12,517
350260,APARECIDA D'OESTE,SP,2025-01-01,2025,1,22
350260,APARECIDA D'OESTE,SP,2025-02-01,2025,2,9
350260,APARECIDA D'OESTE,SP,2025-03-01,2025,3,9
350260,APARECIDA D'OESTE,SP,2025-04-01,2025,4,2
350260,APARECIDA D'OESTE,SP,2025-05-01,2025,5,6
350260,APARECIDA D'OESTE,SP,2025-06-01,2025,6,9
350260,APARECIDA D'OESTE,SP,2025-07-01,2025,7,6
350260,APARECIDA D'OESTE,SP,2025-08-01,2025,8,8
350260,APARECIDA D'OESTE,SP,2025-09-01,2025,9,6
350260,APARECIDA D'OESTE,SP,2025-10-01,2025,10,3
350260,APARECIDA D'OESTE,SP,2025-11-01,2025,11,5
350260,APARECIDA D'OESTE,SP,2025-12-01,2025,12,9
350270,APIAI,SP,2025-01-01,2025,1,239
350270,APIAI,SP,2025-02-01,2025,2,226
350270,APIAI,SP,2025-03-01,2025,3,240
350270,APIAI,SP,2025-04-01,2025,4,246
350270,APIAI,SP,2025-05-01,2025,5,362
350270,APIAI,SP,2025-06-01,2025,6,288
350270,APIAI,SP,2025-07-01,2025,7,298
350270,APIAI,SP,2025-08-01,2025,8,267
350270,APIAI,SP,2025-09-01,2025,9,282
350270,APIAI,SP,2025-10-01,2025,10,292
350270,APIAI,SP,2025-11-01,2025,11,299
350270,APIAI,SP,2025-12-01,2025,12,325
350280,ARACATUBA,SP,2025-01-01,2025,1,1752
350280,ARACATUBA,SP,2025-02-01,2025,2,1222
350280,ARACATUBA,SP,2025-03-01,2025,3,1194
350280,ARACATUBA,SP,2025-04-01,2025,4,1241
350280,ARACATUBA,SP,2025-05-01,2025,5,1285
350280,ARACATUBA,SP,2025-06-01,2025,6,1054
350280,ARACATUBA,SP,2025-07-01,2025,7,1176
350280,ARACATUBA,SP,2025-08-01,2025,8,1198
350280,ARACATUBA,SP,2025-09-01,2025,9,1254
350280,ARACATUBA,SP,2025-10-01,2025,10,1236
350280,ARACATUBA,SP,2025-11-01,2025,11,982
350280,ARACATUBA,SP,2025-12-01,2025,12,989
350310,ARANDU,SP,2025-01-01,2025,1,10
350310,ARANDU,SP,2025-02-01,2025,2,3
350310,ARANDU,SP,2025-03-01,2025,3,8
350310,ARANDU,SP,2025-04-01,2025,4,10
350310,ARANDU,SP,2025-05-01,2025,5,8
350310,ARANDU,SP,2025-06-01,2025,6,7
350310,ARANDU,SP,2025-07-01,2025,7,8
350310,ARANDU,SP,2025-08-01,2025,8,11
350310,ARANDU,SP,2025-09-01,2025,9,12
350310,ARANDU,SP,2025-10-01,2025,10,10
350310,ARANDU,SP,2025-11-01,2025,11,9
350310,ARANDU,SP,2025-12-01,2025,12,8
350320,ARARAQUARA,SP,2025-01-01,2025,1,1866
350320,ARARAQUARA,SP,2025-02-01,2025,2,1589
350320,ARARAQUARA,SP,2025-03-01,2025,3,1683
350320,ARARAQUARA,SP,2025-04-01,2025,4,1722
350320,ARARAQUARA,SP,2025-05-01,2025,5,1698
350320,ARARAQUARA,SP,2025-06-01,2025,6,1507
350320,ARARAQUARA,SP,2025-07-01,2025,7,1745
350320,ARARAQUARA,SP,2025-08-01,2025,8,1779
350320,ARARAQUARA,SP,2025-09-01,2025,9,1890
350320,ARARAQUARA,SP,2025-10-01,2025,10,1803
350320,ARARAQUARA,SP,2025-11-01,2025,11,1973
350320,ARARAQUARA,SP,2025-12-01,2025,12,1614
350330,ARARAS,SP,2025-01-01,2025,1,452
350330,ARARAS,SP,2025-02-01,2025,2,524
350330,ARARAS,SP,2025-03-01,2025,3,549
350330,ARARAS,SP,2025-04-01,2025,4,702
350330,ARARAS,SP,2025-05-01,2025,5,698
350330,ARARAS,SP,2025-06-01,2025,6,605
350330,ARARAS,SP,2025-07-01,2025,7,602
350330,ARARAS,SP,2025-08-01,2025,8,596
350330,ARARAS,SP,2025-09-01,2025,9,607
350330,ARARAS,SP,2025-10-01,2025,10,689
350330,ARARAS,SP,2025-11-01,2025,11,647
350330,ARARAS,SP,2025-12-01,2025,12,692
350340,AREALVA,SP,2025-01-01,2025,1,16
350340,AREALVA,SP,2025-02-01,2025,2,18
350340,AREALVA,SP,2025-03-01,2025,3,18
350340,AREALVA,SP,2025-04-01,2025,4,29
350340,AREALVA,SP,2025-05-01,2025,5,22
350340,AREALVA,SP,2025-06-01,2025,6,31
350340,AREALVA,SP,2025-07-01,2025,7,24
350340,AREALVA,SP,2025-08-01,2025,8,23
350340,AREALVA,SP,2025-09-01,2025,9,26
350340,AREALVA,SP,2025-10-01,2025,10,19
350340,AREALVA,SP,2025-11-01,2025,11,17
350340,AREALVA,SP,2025-12-01,2025,12,17
350390,ARUJA,SP,2025-01-01,2025,1,181
350390,ARUJA,SP,2025-02-01,2025,2,121
350390,ARUJA,SP,2025-03-01,2025,3,139
350390,ARUJA,SP,2025-04-01,2025,4,0
350390,ARUJA,SP,2025-05-01,2025,5,0
350390,ARUJA,SP,2025-06-01,2025,6,0
350390,ARUJA,SP,2025-07-01,2025,7,0
350390,ARUJA,SP,2025-08-01,2025,8,0
350390,ARUJA,SP,2025-09-01,2025,9,0
350390,ARUJA,SP,2025-10-01,2025,10,0
350390,ARUJA,SP,2025-11-01,2025,11,0
350390,ARUJA,SP,2025-12-01,2025,12,0
350400,ASSIS,SP,2025-01-01,2025,1,742
350400,ASSIS,SP,2025-02-01,2025,2,788
350400,ASSIS,SP,2025-03-01,2025,3,892
350400,ASSIS,SP,2025-04-01,2025,4,868
350400,ASSIS,SP,2025-05-01,2025,5,1013
350400,ASSIS,SP,2025-06-01,2025,6,943
350400,ASSIS,SP,2025-07-01,2025,7,974
350400,ASSIS,SP,2025-08-01,2025,8,952
350400,ASSIS,SP,2025-09-01,2025,9,830
350400,ASSIS,SP,2025-10-01,2025,10,994
350400,ASSIS,SP,2025-11-01,2025,11,852
350400,ASSIS,SP,2025-12-01,2025,12,895
350410,ATIBAIA,SP,2025-01-01,2025,1,301
350410,ATIBAIA,SP,2025-02-01,2025,2,352
350410,ATIBAIA,SP,2025-03-01,2025,3,389
350410,ATIBAIA,SP,2025-04-01,2025,4,439
350410,ATIBAIA,SP,2025-05-01,2025,5,411
350410,ATIBAIA,SP,2025-06-01,2025,6,409
350410,ATIBAIA,SP,2025-07-01,2025,7,415
350410,ATIBAIA,SP,2025-08-01,2025,8,405
350410,ATIBAIA,SP,2025-09-01,2025,9,339
350410,ATIBAIA,SP,2025-10-01,2025,10,336
350410,ATIBAIA,SP,2025-11-01,2025,11,379
350410,ATIBAIA,SP,2025-12-01,2025,12,360
350420,AURIFLAMA,SP,2025-01-01,2025,1,240
350420,AURIFLAMA,SP,2025-02-01,2025,2,263
350420,AURIFLAMA,SP,2025-03-01,2025,3,243
350420,AURIFLAMA,SP,2025-04-01,2025,4,236
350420,AURIFLAMA,SP,2025-05-01,2025,5,222
350420,AURIFLAMA,SP,2025-06-01,2025,6,197
350420,AURIFLAMA,SP,2025-07-01,2025,7,211
350420,AURIFLAMA,SP,2025-08-01,2025,8,209
350420,AURIFLAMA,SP,2025-09-01,2025,9,183
350420,AURIFLAMA,SP,2025-10-01,2025,10,211
350420,AURIFLAMA,SP,2025-11-01,2025,11,215
350420,AURIFLAMA,SP,2025-12-01,2025,12,278
350450,AVARE,SP,2025-01-01,2025,1,620
350450,AVARE,SP,2025-02-01,2025,2,618
350450,AVARE,SP,2025-03-01,2025,3,619
350450,AVARE,SP,2025-04-01,2025,4,612
350450,AVARE,SP,2025-05-01,2025,5,607
350450,AVARE,SP,2025-06-01,2025,6,681
350450,AVARE,SP,2025-07-01,2025,7,733
350450,AVARE,SP,2025-08-01,2025,8,695
350450,AVARE,SP,2025-09-01,2025,9,648
350450,AVARE,SP,2025-10-01,2025,10,579
350450,AVARE,SP,2025-11-01,2025,11,600
350450,AVARE,SP,2025-12-01,2025,12,582
350520,BARIRI,SP,2025-01-01,2025,1,131
350520,BARIRI,SP,2025-02-01,2025,2,144
350520,BARIRI,SP,2025-03-01,2025,3,169
350520,BARIRI,SP,2025-04-01,2025,4,176
350520,BARIRI,SP,2025-05-01,2025,5,173
350520,BARIRI,SP,2025-06-01,2025,6,158
350520,BARIRI,SP,2025-07-01,2025,7,189
350520,BARIRI,SP,2025-08-01,2025,8,202
350520,BARIRI,SP,2025-09-01,2025,9,214
